iter	Passed	Remaining
399	64877	129755
400	65040	129595
401	65202	129432
402	65367	129276
403	65531	129115
404	65693	128953
405	65855	128791
406	66019	128632
407	66185	128478
408	66350	128321
409	66519	128172
410	66683	128011
411	66846	127851
412	67009	127691
413	67173	127532
414	67334	127367
415	67500	127211
416	67661	127047
417	67823	126885
418	67986	126723
419	68148	126561
420	68311	126400
421	68476	126243
422	68639	126081
423	68798	125913
424	68958	125748
425	69118	125582
426	69277	125413
427	69439	125251
428	69604	125093
429	69766	124930
430	69927	124766
431	70090	124605
432	70256	124450
433	70418	124287
434	70596	124153
435	70777	124022
436	70938	123858
437	71102	123699
438	71265	123536
439	71429	123378
440	71590	123212
441	71752	123050
442	71911	122883
443	72073	122719
444	72233	122553
445	72395	122391
446	72559	122230
447	72718	122062
448	72877	121895
449	73036	121727
450	73197	121563
451	73357	121396
452	73520	121235
453	73680	121069
454	73848	120917
455	74024	120776
456	74186	120613
457	74347	120449
458	74512	120291
459	74674	120128
460	74835	119964
461	74996	119799
462	75159	119638
463	75320	119473
464	75482	119311
465	75644	119148
466	75807	118986
467	75970	118825
468	76133	118664
469	76294	118499
470	76457	118338
471	76619	118176
472	76779	118010
473	76939	117844
474	77102	117683
475	77262	117517
476	77424	117353
477	77583	117186
478	77745	117023
479	77905	116858
480	78065	116693
481	78227	116529
482	78389	116366
483	78549	116200
484	78712	116040
485	78875	115879
486	79039	115718
487	79207	115565
488	79369	115402
489	79535	115244
490	79698	115084
491	79861	114922
492	80022	114758
493	80190	114604
494	80356	114446
495	80521	114289
496	80715	114170
497	80876	114006
498	81038	113844
499	81200	113680
500	81362	113517
501	81524	113354
502	81683	113187
503	81843	113022
504	82005	112859
505	82169	112699
506	82331	112535
507	82494	112374
508	82654	112208
509	82816	112045
510	82979	111884
511	83144	111725
512	83307	111563
513	83469	111400
514	83630	111236
515	83788	111068
516	83948	110903
517	84108	110737
518	84268	110572
519	84429	110407
520	84592	110245
521	84751	110079
522	84911	109914
523	85071	109749
524	85233	109585
525	85393	109421
526	85557	109260
527	85719	109097
528	85880	108933
529	86039	108767
530	86201	108604
531	86362	108439
532	86523	108275
533	86685	108113
534	86846	107949
535	87005	107783
536	87167	107620
537	87326	107454
538	87486	107289
539	87648	107126
540	87808	106961
541	87971	106798
542	88133	106637
543	88297	106475
544	88459	106313
545	88622	106151
546	88781	105985
547	88942	105821
548	89100	105654
549	89262	105491
550	89421	105326
551	89583	105163
552	89747	105003
553	89909	104840
554	90073	104680
555	90260	104546
556	90425	104387
557	90618	104259
558	90790	104108
559	90952	103945
560	91114	103782
561	91278	103621
562	91441	103460
563	91605	103299
564	91765	103135
565	91929	102974
566	92088	102808
567	92252	102646
568	92415	102485
569	92583	102328
570	92753	102175
571	92922	102019
572	93088	101861
573	93252	101700
574	93411	101534
575	93576	101374
576	93739	101212
577	93899	101047
578	94058	100881
579	94220	100718
580	94385	100558
581	94547	100395
582	94711	100234
583	94873	100071
584	95034	99907
585	95194	99743
586	95355	99579
587	95518	99417
588	95681	99255
589	95847	99096
590	96020	98944
591	96188	98788
592	96351	98626
593	96515	98465
594	96680	98305
595	96844	98144
596	97008	97983
597	97172	97822
598	97335	97660
599	97495	97495
600	97658	97333
601	97819	97169
602	97981	97006
603	98141	96841
604	98305	96681
605	98468	96518
606	98630	96355
607	98798	96198
608	98961	96036
609	99123	95873
610	99284	95709
611	99444	95544
612	99605	95381
613	99766	95217
614	99928	95054
615	100088	94889
616	100252	94728
617	100412	94563
618	100596	94420
619	100773	94271
620	100935	94108
621	101094	93942
622	101255	93779
623	101413	93612
624	101573	93448
625	101739	93288
626	101900	93124
627	102062	92961
628	102223	92797
629	102384	92633
630	102546	92470
631	102709	92308
632	102869	92143
633	103030	91979
634	103191	91816
635	103352	91651
636	103513	91487
637	103672	91323
638	103832	91157
639	103992	90993
640	104154	90830
641	104317	90668
642	104477	90503
643	104639	90340
644	104798	90175
645	104960	90012
646	105118	89846
647	105279	89682
648	105440	89518
649	105600	89354
650	105763	89192
651	105924	89028
652	106089	88868
653	106256	88709
654	106416	88545
655	106578	88382
656	106742	88220
657	106904	88058
658	107064	87893
659	107224	87729
660	107383	87564
661	107541	87398
662	107703	87234
663	107865	87072
664	108026	86908
665	108186	86744
666	108346	86579
667	108507	86415
668	108668	86252
669	108827	86087
670	108990	85925
671	109150	85761
672	109312	85598
673	109472	85434
674	109633	85270
675	109794	85107
676	109954	84942
677	110115	84779
678	110285	84622
679	110445	84458
680	110641	84321
681	110803	84158
682	110964	83995
683	111123	83830
684	111283	83666
685	111444	83502
686	111608	83340
687	111773	83180
688	111935	83017
689	112095	82853
690	112258	82690
691	112419	82527
692	112578	82362
